#node	asm	tax	desc	tax_species	color
NC_004354.4	GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.fna.gz	7227	Drosophila melanogaster	7227	#032A01
NC_000001.11	GCF_000001405.36_GRCh38.p10_genomic.fna.gz	9606	Homo sapiens	9606	#138163
NC_000001.11	GCF_000001405.38_GRCh38.p12_genomic.fna.gz	9606	Homo sapiens	9606	#138163
NC_006468.4	GCF_000001515.7_Pan_tro_3.0_genomic.fna.gz	9598	Pan troglodytes	9598	#DE9240
NC_012591.1	GCF_000001545.4_P_pygmaeus_2.0.2_genomic.fna.gz	9601	Pongo abelii	9601	#A01F3C
NC_000067.6	GCF_000001635.25_GRCm38.p5_genomic.fna.gz	10090	Mus musculus	10090	#4392E6
NC_000067.6	GCF_000001635.26_GRCm38.p6_genomic.fna.gz	10090	Mus musculus	10090	#4392E6
NC_003070.9	GCF_000001735.3_TAIR10_genomic.fna.gz	3702	Arabidopsis thaliana	3702	#A92873
NC_003070.9	GCF_000001735.4_TAIR10.1_genomic.fna.gz	3702	Arabidopsis thaliana	3702	#A92873
NW_001589959.2	GCF_000001765.3_Dpse_3.0_genomic.fna.gz	46245	Drosophila pseudoobscura pseudoobscura	7237	#742141
NC_005100.4	GCF_000001895.5_Rnor_6.0_genomic.fna.gz	10116	Rattus norvegicus	10116	#C45AE6
NW_003573420.1	GCF_000001905.1_Loxafr3.0_genomic.fna.gz	9785	Loxodonta africana	9785	#851372
NW_002197112.1	GCF_000001985.1_JCVI-PMFA1-2.0_genomic.fna.gz	441960	Talaromyces marneffei ATCC 18224	37727	#3DACB5
NC_007112.6	GCF_000002035.5_GRCz10_genomic.fna.gz	7955	Danio rerio	7955	#62D081
NC_007112.7	GCF_000002035.6_GRCz11_genomic.fna.gz	7955	Danio rerio	7955	#62D081
NW_004797271.1	GCF_000002075.1_AplCal3.0_genomic.fna.gz	6500	Aplysia californica	6500	#1E0F65
NC_007070.3	GCF_000002195.4_Amel_4.5_genomic.fna.gz	7460	Apis mellifera	7460	#99E4FF
NW_011967247.1	GCF_000002235.4_Spur_4.2_genomic.fna.gz	7668	Strongylocentrotus purpuratus	7668	#B4D6F2
AC_000069.1	GCF_000002265.2_Rn_Celera_genomic.fna.gz	10116	Rattus norvegicus	10116	#C45AE6
NC_009094.1	GCF_000002275.2_Ornithorhynchus_anatinus_5.0.1_genomic.fna.gz	9258	Ornithorhynchus anatinus	9258	#1868F1
NC_006583.3	GCF_000002285.3_CanFam3.1_genomic.fna.gz	9615	Canis lupus familiaris	9612	#85B6C9
NC_008801.1	GCF_000002295.2_MonDom5_genomic.fna.gz	13616	Monodelphis domestica	13616	#EA415B
NC_009144.2	GCF_000002305.2_EquCab2.0_genomic.fna.gz	9796	Equus caballus	9796	#DDA8D8
NC_006088.4	GCF_000002315.4_Gallus_gallus-5.0_genomic.fna.gz	9031	Gallus gallus	9031	#E2E142
NC_006088.5	GCF_000002315.5_GRCg6a_genomic.fna.gz	9031	Gallus gallus	9031	#E2E142
NC_006088.5	GCF_000002315.6_GRCg6a_genomic.fna.gz	9031	Gallus gallus	9031	#E2E142
NC_015867.2	GCF_000002325.3_Nvit_2.1_genomic.fna.gz	7425	Nasonia vitripennis	7425	#966AAD
NC_007416.3	GCF_000002335.3_Tcas5.2_genomic.fna.gz	7070	Tribolium castaneum	7070	#08F0EF
NC_009906.1	GCF_000002415.2_ASM241v2_genomic.fna.gz	5855	Plasmodium vivax	5855	#CDFA4C
NW_001867361.1	GCF_000002425.3_V1.1_genomic.fna.gz	3218	Physcomitrella patens	3218	#B01693
NC_037253.1	GCF_000002425.4_Phypa_V3_genomic.fna.gz	3218	Physcomitrella patens	3218	#B01693
NW_002477179.1	GCF_000002435.1_GL2_genomic.fna.gz	184922	Giardia lamblia ATCC 50803	5741	#EDEA29
NC_008409.1	GCF_000002445.1_ASM244v1_genomic.fna.gz	185431	Trypanosoma brucei brucei TREU927	5691	#87784E
NC_008409.1	GCF_000002445.2_ASM244v1_genomic.fna.gz	185431	Trypanosoma brucei brucei TREU927	5691	#87784E
NC_010004.1	GCF_000002455.1_ASM245v1_genomic.fna.gz	227086	Bigelowiella natans	227086	#6B4CDF
NC_017844.1	GCF_000002495.2_MG8_genomic.fna.gz	242507	Pyricularia oryzae 70-15	318829	#8D90CC
NC_006037.1	GCF_000002515.2_ASM251v1_genomic.fna.gz	28985	Kluyveromyces lactis	28985	#6BBF19
NC_006067.1	GCF_000002525.2_ASM252v1_genomic.fna.gz	284591	Yarrowia lipolytica CLIB122	4952	#4F164C
NC_005967.2	GCF_000002545.3_ASM254v2_genomic.fna.gz	5478	[Candida] glabrata	5478	#237123
NW_001843470.1	GCF_000002595.1_v3.0_genomic.fna.gz	3055	Chlamydomonas reinhardtii	3055	#2836BE
NC_007194.1	GCF_000002655.1_ASM265v1_genomic.fna.gz	330879	Aspergillus fumigatus Af293	746128	#D88768
NW_001510342.1	GCF_000002715.2_ASM271v1_genomic.fna.gz	344612	Aspergillus clavatus NRRL 1	5057	#79A330
NC_001905.3	GCF_000002725.2_ASM272v2_genomic.fna.gz	347515	Leishmania major strain Friedlin	5664	#B24D21
NC_004325.1	GCF_000002765.3_ASM276v1_genomic.fna.gz	36329	Plasmodium falciparum 3D7	5833	#F5F3B8
